Station Number,Station,Date,Riding Type,01AM-02AM,02AM-03AM,03AM-04AM,04AM-05AM,05AM-06AM,06AM-07AM,07AM-8AM,08AM-09AM,09AM-10AM,10AM-11AM,11AM-12PM,12PM-13PM,13PM-14PM,14PM-15PM,15PM-16PM,16PM-17PM,17PM-18PM,18PM-19PM,19PM-20PM,20PM-21PM,21PM-22PM,22PM-23PM,23PM-24AM,24AM-01AM
313,Deokcheon,2024.1.1,alighting,0,0,0,3,41,102,102,185,329,356,416,492,488,436,528,472,398,328,220,195,159,128,74,24
314,Gupo,2024.1.1,boarding,0,0,0,4,25,54,33,57,110,113,135,178,145,80,306,296,226,148,162,262,129,128,55,3
314,Gupo,2024.1.1,alighting,0,0,0,1,41,84,98,132,179,198,141,156,211,188,204,164,179,211,157,139,78,28,10,3
315,Gangseo-gu Office,2024.1.1,boarding,0,0,0,1,11,24,22,36,34,66,92,102,44,84,114,111,123,69,39,24,10,13,3,1
315,Gangseo-gu Office,2024.1.1,alighting,0,0,0,1,13,58,68,65,62,54,72,130,105,67,61,44,52,29,22,19,18,19,6,5
316,Sports Park,2024.1.1,boarding,0,0,0,0,0,7,5,4,12,10,11,12,13,42,38,21,22,18,10,8,6,11,2,0
316,Sports Park,2024.1.1,alighting,0,0,0,0,2,11,4,10,17,14,21,11,13,19,18,14,15,4,16,10,7,10,2,3
317,Daejeo,2024.1.1,boarding,0,0,0,3,127,120,124,139,213,206,256,274,313,294,331,377,357,290,241,197,171,81,29,0
317,Daejeo,2024.1.1,alighting,0,0,0,0,69,139,116,173,197,216,207,277,244,254,332,285,297,195,230,225,135,139,70,13
402,Dongnae,2024.1.1,boarding,0,0,0,1,19,33,26,29,26,48,65,67,84,76,92,83,83,97,59,36,36,30,15,9
402,Dongnae,2024.1.1,alighting,0,0,0,0,21,37,23,39,54,65,83,101,95,88,91,96,105,90,60,49,31,25,24,1
403,Suan,2024.1.1,boarding,0,0,0,1,28,29,33,43,52,72,99,122,153,166,197,197,206,123,84,80,26,49,28,5
403,Suan,2024.1.1,alighting,0,0,0,0,15,33,27,52,96,101,151,177,232,184,170,159,127,86,49,34,24,20,17,3
404,Nangmin,2024.1.1,boarding,0,0,0,0,15,30,43,42,61,54,55,70,69,62,53,61,62,49,30,13,21,14,2,0
404,Nangmin,2024.1.1,alighting,0,0,0,0,20,24,15,28,35,55,54,58,56,74,68,82,62,54,53,41,19,17,9,4
405,Chungnyeolsa,2024.1.1,boarding,0,0,0,1,44,36,56,55,84,91,121,119,139,138,119,131,133,85,47,48,38,37,19,7
405,Chungnyeolsa,2024.1.1,alighting,0,0,0,1,24,39,15,44,51,76,96,112,148,162,142,156,169,117,69,50,54,31,21,9
406,Myeongjang,2024.1.1,boarding,0,0,0,1,98,61,59,81,105,109,134,132,141,131,100,111,94,66,48,29,20,23,23,3
406,Myeongjang,2024.1.1,alighting,0,0,0,0,8,42,24,59,60,57,82,100,98,130,134,176,185,147,84,64,70,47,29,6
407,Seo-dong,2024.1.1,boarding,0,0,0,1,31,56,31,42,55,60,103,145,131,121,86,68,69,62,28,27,29,20,14,2
407,Seo-dong,2024.1.1,alighting,0,0,0,0,14,29,28,38,85,59,76,83,126,115,114,121,128,102,76,53,31,32,20,7
408,Geumsa,2024.1.1,boarding,0,0,0,0,20,26,19,33,44,46,66,59,72,64,71,67,46,30,23,18,15,6,4,1
408,Geumsa,2024.1.1,alighting,0,0,0,0,4,23,23,27,36,35,39,46,63,50,45,56,60,52,19,25,20,13,8,4
409,Banyeo Agricultural Market,2024.1.1,boarding,0,0,0,0,11,5,28,27,34,49,75,62,65,68,63,72,58,44,24,11,12,18,15,9
409,Banyeo Agricultural Market,2024.1.1,alighting,0,0,0,0,8,20,25,44,48,44,49,53,75,58,47,63,60,50,32,17,13,10,10,6
410,Seokdae,2024.1.1,boarding,0,0,0,0,0,3,3,7,7,6,15,11,12,12,20,16,10,5,2,0,1,0,0,0
410,Seokdae,2024.1.1,alighting,0,0,0,0,1,2,0,4,5,4,5,3,9,7,9,5,4,2,0,1,1,0,0,1
411,Youngsan Univ.,2024.1.1,boarding,0,0,0,3,44,31,47,52,82,82,121,133,145,114,101,126,97,64,42,41,22,23,6,2
411,Youngsan Univ.,2024.1.1,alighting,0,0,0,1,10,34,31,46,59,53,74,59,95,94,145,120,132,103,62,80,50,64,76,35
412,Witbansong,2024.1.1,boarding,0,0,0,6,73,28,41,76,96,114,144,141,123,127,101,108,82,68,35,41,18,17,5,1
412,Witbansong,2024.1.1,alighting,0,0,0,2,5,33,37,25,63,67,81,94,87,92,126,159,120,115,50,40,67,34,26,19
413,Gochon,2024.1.1,boarding,0,0,1,0,7,10,15,24,24,26,20,61,27,46,33,31,31,20,4,6,7,3,2,1
413,Gochon,2024.1.1,alighting,0,0,0,2,0,10,13,18,18,24,14,26,26,26,30,25,32,18,13,7,9,5,6,2
414,Anpyeong,2024.1.1,boarding,0,0,0,2,23,27,37,42,62,90,100,100,105,82,97,98,93,51,36,33,19,11,1,1
414,Anpyeong,2024.1.1,alighting,0,0,0,0,1,45,36,56,61,57,65,81,68,97,101,94,86,56,37,40,37,46,10,13
