Station Number,Station,Date,Riding Type,01AM-02AM,02AM-03AM,03AM-04AM,04AM-05AM,05AM-06AM,06AM-07AM,07AM-8AM,08AM-09AM,09AM-10AM,10AM-11AM,11AM-12PM,12PM-13PM,13PM-14PM,14PM-15PM,15PM-16PM,16PM-17PM,17PM-18PM,18PM-19PM,19PM-20PM,20PM-21PM,21PM-22PM,22PM-23PM,23PM-24AM,24AM-01AM
118,Beomnaegol,2024.1.1,alighting,0,0,0,4,36,95,60,153,166,160,188,195,219,239,258,285,296,243,257,209,200,149,101,12
119,Seomyeon,2024.1.1,boarding,0,0,0,15,1070,930,531,435,589,715,990,1203,1401,1730,1973,2155,2049,1829,1500,1330,1267,998,750,1
119,Seomyeon,2024.1.1,alighting,0,0,0,3,189,236,251,597,1000,1204,1891,2508,2495,2423,2267,2012,1825,1638,1129,802,644,468,234,73
120,Bujeon,2024.1.1,boarding,0,0,0,0,143,274,171,239,391,379,574,736,806,843,1093,995,772,543,316,234,194,117,72,2
120,Bujeon,2024.1.1,alighting,0,0,0,0,109,130,146,277,453,552,787,1038,1187,1029,751,724,537,434,271,297,226,200,85,9
121,Yangjeong,2024.1.1,boarding,0,0,0,0,163,277,130,214,253,281,311,422,435,381,312,329,371,266,242,156,135,104,61,2
121,Yangjeong,2024.1.1,alighting,0,0,0,0,95,105,100,178,288,256,252,311,310,329,396,417,499,348,341,298,232,200,118,17
122,City Hall,2024.1.1,boarding,0,0,0,0,141,301,166,255,310,366,473,465,505,454,436,509,371,341,264,227,171,115,65,2
122,City Hall,2024.1.1,alighting,0,0,0,0,65,133,105,279,271,237,256,340,377,408,492,506,525,446,373,316,312,256,123,11
123,Yeonsan,2024.1.1,boarding,0,0,0,3,199,222,188,310,371,479,553,631,652,601,652,584,492,489,329,296,244,175,112,5
123,Yeonsan,2024.1.1,alighting,0,0,0,0,91,172,152,213,309,371,432,513,537,554,616,750,736,589,536,427,406,300,218,13
124,Busan Nat\'l Univ. of Edu.,2024.1.1,boarding,0,0,0,5,113,226,194,293,409,517,536,576,632,492,582,594,553,527,419,251,245,86,80,4
124,Busan Nat\'l Univ. of Edu.,2024.1.1,alighting,0,0,0,3,237,244,131,215,353,354,392,422,457,475,597,588,581,512,365,376,291,192,136,16
125,Dongnae,2024.1.1,boarding,0,0,0,6,224,293,214,292,430,481,594,634,702,802,804,729,836,685,569,485,460,318,198,16
125,Dongnae,2024.1.1,alighting,0,0,0,1,86,266,196,343,443,429,550,639,709,818,816,954,942,825,637,615,458,324,214,32
126,Myeongnyun,2024.1.1,boarding,0,0,0,5,157,237,147,177,228,234,356,359,437,355,399,456,389,332,217,170,146,130,39,2
126,Myeongnyun,2024.1.1,alighting,0,0,0,2,47,129,86,201,291,243,294,297,323,393,402,539,400,387,322,263,256,200,147,11
127,Oncheonjang,2024.1.1,boarding,0,0,0,13,275,295,227,304,399,462,572,673,720,785,778,748,643,615,399,307,214,136,61,8
127,Oncheonjang,2024.1.1,alighting,0,0,0,3,115,257,192,362,500,560,506,563,630,719,703,761,696,585,455,381,378,270,162,38
128,Pusan Nat\'l Univ.,2024.1.1,boarding,0,0,0,5,241,263,145,182,249,280,355,452,528,574,572,721,735,649,523,517,457,322,185,15
128,Pusan Nat\'l Univ.,2024.1.1,alighting,0,0,0,0,70,140,113,193,415,364,467,590,659,706,771,790,832,634,522,430,309,308,168,44
129,Jangjeon,2024.1.1,boarding,0,0,0,4,235,262,150,192,285,305,396,486,487,468,375,457,435,308,223,192,140,110,58,5
