Date,Line Number,Station Number,Station,Ride Type,Before 6AM,06AM-07AM,07AM - 08AM,08AM - 09AM,09AM-10AM,10AM-11AM,11AM-12PM,12PM-13PM,13PM-14PM,14PM-15PM,15PM-16PM,16PM-17PM,17PM-18PM,18PM-19PM,19PM-20PM,20PM-21PM,21PM-22PM,22PM-23PM,23PM-24AM,After 24AM
2023.12.31,2,209,Hanyang Univ.,boarding,20,45,55,67,89,140,139,173,178,173,197,246,213,194,134,104,93,135,100,26
2023.12.31,2,209,Hanyang Univ.,alighting,8,51,37,49,88,123,117,137,171,215,156,174,161,138,125,143,97,125,86,176
2023.12.31,2,210,Ttukseom,boarding,60,97,115,204,261,301,549,624,810,930,998,1267,1406,1268,1236,1107,932,604,213,72
2023.12.31,2,210,Ttukseom,alighting,28,175,137,209,510,1019,1396,1067,1191,1280,1196,1210,1018,779,619,367,341,284,181,269
2023.12.31,2,211,Seongsu,boarding,156,130,142,267,371,451,550,953,1161,1485,1840,2364,2701,2656,2218,2270,1946,1442,513,177
2023.12.31,2,211,Seongsu,alighting,29,268,257,356,751,1528,2126,2543,2719,2897,2814,2593,2427,1649,1118,664,527,415,354,680
2023.12.31,2,212,Konkuk Univ.,boarding,548,389,457,745,1055,1012,1169,1210,1452,1738,1927,2106,2184,2161,2115,2206,2385,2626,1476,422
2023.12.31,2,212,Konkuk Univ.,alighting,39,238,226,339,690,1024,1519,1679,2000,2205,2298,2580,2949,3061,2740,2816,2627,2359,1539,1638
2023.12.31,2,213,Guui (Gwangjin-gu Office),boarding,174,281,369,594,947,935,934,890,1027,969,888,923,898,686,590,577,530,514,272,58
2023.12.31,2,213,Guui (Gwangjin-gu Office),alighting,30,204,178,235,274,384,422,496,662,764,790,940,1006,1077,918,941,908,842,463,569
2023.12.31,2,214,Gangbyeon (Dongseoul Bus Terminal),boarding,112,200,273,637,1180,1525,1677,1472,1562,1425,1573,1737,1620,1309,1130,933,827,611,281,89
2023.12.31,2,214,Gangbyeon (Dongseoul Bus Terminal),alighting,83,559,519,701,873,1134,1014,1160,1340,1506,1549,1516,1674,1401,1265,1131,930,854,493,497
2023.12.31,2,215,Jamsillaru,boarding,58,82,112,261,308,420,441,484,543,518,529,477,447,277,214,214,161,155,88,248
2023.12.31,2,215,Jamsillaru,alighting,37,141,106,150,192,239,276,328,415,375,419,493,593,425,327,315,314,347,192,148
2023.12.31,2,216,Jamsil (Songpa-gu Office),boarding,201,421,576,894,1388,1565,2228,2670,3085,3781,4548,5320,6427,5919,5304,5730,5456,3906,1083,10721
2023.12.31,2,216,Jamsil (Songpa-gu Office),alighting,85,618,739,1432,2734,3522,3993,4565,5176,5338,5431,6046,5723,5062,4067,3980,4032,4713,5427,1380
2023.12.31,2,217,Jamsilsaenae,boarding,153,165,239,437,650,762,836,980,1012,961,971,947,986,850,675,732,715,828,584,446
2023.12.31,2,217,Jamsilsaenae,alighting,21,135,155,236,429,525,602,751,908,1082,1108,1276,1353,1365,1188,1041,1075,765,461,449
2023.12.31,2,218,Sports Complex,boarding,18,74,70,163,199,424,357,616,407,1288,395,300,760,711,251,2053,2530,216,116,138
2023.12.31,2,218,Sports Complex,alighting,41,178,121,298,519,769,935,480,713,1682,1785,1236,1621,325,271,281,284,258,219,175
2023.12.31,2,219,Samseong (World Trade Center Seoul),boarding,95,137,173,206,287,485,654,931,1689,1866,2359,3190,3467,2917,2322,3185,2382,2098,501,295
2023.12.31,2,219,Samseong (World Trade Center Seoul),alighting,41,432,555,1103,1831,1964,2295,2503,2975,2698,2377,2060,1855,1745,862,715,545,465,390,643
2023.12.31,2,220,Seolleung,boarding,131,223,218,295,514,497,655,740,858,833,991,1105,1406,1325,961,776,1008,1024,413,104
2023.12.31,2,220,Seolleung,alighting,39,299,322,509,868,707,625,762,947,775,671,789,871,729,573,570,544,433,298,713
2023.12.31,2,221,Yeoksam,boarding,98,177,176,240,373,502,580,871,652,896,1064,915,868,780,681,754,724,582,265,31
2023.12.31,2,221,Yeoksam,alighting,58,267,324,636,793,959,667,809,814,706,738,676,721,763,530,516,603,384,254,425
2023.12.31,2,222,Gangnam,boarding,440,463,371,510,759,926,1179,1494,1815,1933,2125,2290,2555,2399,2089,2216,2474,2501,1268,272
2023.12.31,2,222,Gangnam,alighting,98,474,457,835,1550,1526,1704,2045,2204,1997,2188,2486,2649,2490,1976,1795,1804,1324,853,1116
2023.12.31,2,223,Seoul Nat'l Univ. of Education(Court & Prosecutors’ Office),boarding,55,175,174,239,364,393,497,584,609,649,728,695,707,682,568,573,567,484,275,46
2023.12.31,2,223,Seoul Nat'l Univ. of Education(Court & Prosecutors’ Office),alighting,97,264,246,429,778,666,588,717,778,710,645,682,826,762,596,515,579,449,295,271
2023.12.31,2,224,Seocho,boarding,35,124,98,189,748,341,1729,711,1873,1008,938,1443,854,728,969,483,497,378,112,45
2023.12.31,2,224,Seocho,alighting,43,286,800,492,1940,865,2054,890,771,1104,507,716,490,386,263,227,221,216,114,99
2023.12.31,2,225,Bangbae,boarding,42,108,119,164,324,357,385,529,636,594,569,590,486,413,369,304,346,286,108,130
2023.12.31,2,225,Bangbae,alighting,36,159,122,255,582,454,474,386,432,393,452,436,502,484,357,387,356,369,166,110
2023.12.31,2,226,Sadang,boarding,202,303,324,600,1060,1111,1181,1291,1562,1582,1519,1693,1510,1475,1383,1377,1262,1061,633,170
2023.12.31,2,226,Sadang,alighting,69,676,346,427,720,980,1330,1321,1496,1328,1484,1659,2098,1966,1482,1534,1455,1427,1090,1560
2023.12.31,2,227,Nakseongdae(Ganggamchan),boarding,172,278,381,700,1074,1075,1190,1360,1488,1275,1291,1181,1193,972,719,565,623,478,210,77
2023.12.31,2,227,Nakseongdae(Ganggamchan),alighting,74,234,203,312,546,675,705,707,763,840,998,965,1119,1194,1068,923,1112,1007,605,567
2023.12.31,2,228,Seoul Nat‘l Univ. (Gwanak-gu Office),boarding,358,452,569,989,1630,1619,1693,1810,1987,1817,1875,1872,1858,1543,1306,1228,1205,1123,549,100
2023.12.31,2,228,Seoul Nat‘l Univ. (Gwanak-gu Office),alighting,70,315,284,423,678,864,831,1161,1351,1448,1542,1746,1945,2179,1941,1581,1861,1549,1093,985
2023.12.31,2,229,Bongcheon,boarding,193,286,383,672,1092,1049,1006,1082,1143,1102,958,868,806,672,629,482,466,388,152,56
2023.12.31,2,229,Bongcheon,alighting,64,191,152,253,347,491,577,603,653,723,805,952,966,1079,795,733,881,710,402,400
2023.12.31,2,230,Sillim,boarding,515,755,1003,1794,2449,2397,2429,2506,2537,2581,2449,2440,2438,2263,1868,1706,1597,1380,599,196
2023.12.31,2,230,Sillim,alighting,139,489,426,568,936,1117,1245,1400,1823,1917,2055,2460,2783,2930,2696,2565,2806,2482,1709,1200
2023.12.31,2,231,Sindaebang,boarding,281,367,547,968,1506,1394,1358,1286,1283,1197,1159,1190,1019,787,630,579,458,408,169,70
2023.12.31,2,231,Sindaebang,alighting,63,227,226,352,451,673,713,664,741,761,923,1010,1233,1264,1112,1003,1362,1059,656,473
2023.12.31,2,232,Guro Digital Complex,boarding,461,577,728,1280,1837,1844,1935,2022,1995,1932,1862,2029,1967,1702,1257,1107,1107,921,405,131
2023.12.31,2,232,Guro Digital Complex,alighting,118,324,385,612,839,1205,1263,1258,1511,1687,1663,1747,1978,2224,1992,1935,1971,1796,1008,990
2023.12.31,2,233,Daerim (Guro-gu Office),boarding,302,327,489,956,1263,1210,1057,1136,1278,1396,1429,1495,1383,1091,916,714,592,533,240,57
2023.12.31,2,233,Daerim (Guro-gu Office),alighting,83,195,200,388,630,1672,2150,1251,1232,1210,1207,1083,1169,1128,944,857,1188,1057,565,435
2023.12.31,2,234,Sindorim,boarding,391,439,532,833,1211,1409,1567,1962,1906,2045,2153,2182,2125,1798,1682,1415,1495,1040,426,130
2023.12.31,2,234,Sindorim,alighting,148,352,391,632,886,1571,1390,1657,1729,1938,1936,2049,2131,2034,1669,1393,1498,1411,1028,1877
2023.12.31,2,235,Mullae,boarding,64,99,137,249,347,401,464,546,615,616,665,626,607,599,484,537,621,501,173,47
2023.12.31,2,235,Mullae,alighting,43,153,160,242,400,563,508,551,625,631,676,769,799,703,549,446,451,366,240,192
2023.12.31,2,236,Yeongdeungpo-gu Office,boarding,63,122,178,291,374,442,442,590,597,556,594,629,572,511,489,419,411,347,189,51
2023.12.31,2,236,Yeongdeungpo-gu Office,alighting,66,155,152,231,319,436,403,480,501,529,612,623,699,571,448,432,523,379,293,370
2023.12.31,2,237,Dangsan,boarding,104,110,197,266,430,572,534,647,621,589,619,579,608,466,442,403,343,375,144,45
2023.12.31,2,237,Dangsan,alighting,39,167,158,262,381,318,301,437,469,506,558,621,638,684,594,534,582,529,376,488
2023.12.31,2,238,Hapjeong,boarding,506,384,275,424,573,664,794,1185,1187,1298,1623,1826,1758,1784,1645,1990,1922,1933,805,380
2023.12.31,2,238,Hapjeong,alighting,42,183,253,450,880,1311,1628,1907,1988,1800,1980,2156,2345,2184,1637,1484,1401,1250,799,948
2023.12.31,2,239,Hongik Univ.,boarding,1694,1036,744,740,1158,1729,2033,2255,2841,3610,4161,5408,6201,5867,5660,6053,6439,6542,3183,956
2023.12.31,2,239,Hongik Univ.,alighting,96,383,445,714,1561,2868,4681,6197,6535,6703,6805,6821,6774,6604,5843,5315,5130,4127,2777,4693
2023.12.31,2,240,Sinchon,boarding,356,342,304,446,696,898,1105,1575,1552,1738,1870,1960,2020,2026,1946,2199,2006,2102,919,582
2023.12.31,2,240,Sinchon,alighting,49,217,276,543,969,1336,1306,1602,1818,1839,2027,2041,2351,2126,1673,1658,1541,1360,990,1719
2023.12.31,2,241,Ewha Womans Univ.,boarding,70,143,171,234,395,567,616,678,721,713,847,740,791,626,590,343,318,347,191,84
2023.12.31,2,241,Ewha Womans Univ.,alighting,24,88,96,207,325,507,440,510,676,626,623,713,680,681,485,547,463,529,369,709
2023.12.31,2,242,Ahyeon,boarding,72,104,161,274,383,433,458,618,555,514,520,498,477,351,232,276,194,273,114,82
2023.12.31,2,242,Ahyeon,alighting,15,94,103,138,206,339,212,277,339,364,414,419,519,482,369,439,364,397,221,300
2023.12.31,2,243,Chungjeongno (Kyonggi Univ.),boarding,63,93,86,153,199,274,286,305,366,347,322,363,299,316,246,209,178,189,92,57
2023.12.31,2,243,Chungjeongno (Kyonggi Univ.),alighting,17,59,80,177,170,212,246,218,305,291,291,321,319,305,305,257,291,212,188,328
2023.12.31,2,244,Yongdap,boarding,40,38,58,95,143,150,159,185,158,150,121,144,163,112,89,67,61,60,29,7
2023.12.31,2,244,Yongdap,alighting,5,28,34,40,40,53,56,56,83,90,119,133,135,170,131,128,132,148,89,44
2023.12.31,2,245,Sindap,boarding,15,12,17,33,54,65,64,102,92,52,71,85,69,35,39,21,21,23,3,6
2023.12.31,2,245,Sindap,alighting,1,5,11,10,30,29,21,33,42,45,62,68,79,62,52,55,56,48,39,11
2023.12.31,2,246,Sinseoldong,boarding,22,29,31,52,88,134,183,237,293,338,338,371,276,346,107,110,63,74,40,14
2023.12.31,2,246,Sinseoldong,alighting,10,28,52,89,207,376,311,321,324,220,208,151,103,107,121,110,87,66,50,133
2023.12.31,2,247,Dorimcheon,boarding,15,10,14,20,28,30,28,30,45,42,42,44,24,30,19,12,14,11,4,3
2023.12.31,2,247,Dorimcheon,alighting,7,8,7,11,11,21,29,22,28,20,33,25,47,25,44,39,30,16,18,16
2023.12.31,2,248,Yangcheon-gu Office,boarding,69,60,121,188,310,335,336,346,309,265,289,268,227,143,111,78,73,67,19,8
2023.12.31,2,248,Yangcheon-gu Office,alighting,33,50,57,79,106,123,103,122,197,212,258,275,335,317,268,253,258,201,172,79
